firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"A2304992",37,54.85705,693.03,1.666667,9495,452,43
"A2305318",8,32.25989,1173.52,1,8034,514,43
"A2305579",5,54.41897,108.43,3,7638,524,43
"A2326648",11,43.55025,1230,2,4620,,45
"A234380",0,121.667,33374.33,3,6251,515,8
"A237558",93,98.34099,65837.5,2,6401,517,8
"A239327",45,64.6386,74397.75,2.333333,6208,,8
"A2420846",68,60.56718,1000,3,10273,742,33
"A2449715",49,58.20454,171.89,4,7853,,48
"A2451229",12,34.23,250,3,2630,524,50
"A2452261",49,51.36251,9980,1.75,200,927,3
"A2459676",17,70.89854,77118.21,2,1301,742,6
"A2459814",4,27.59259,4024.2,2.571429,760,748,6
"A2459898",62,37.89593,200,2.5,627,552,10
"A2462769",22,97.74008,60,2.666667,756,,7
"A2463444",109,61.12416,1894,2,752,642,7
"A2464023",1,30.30148,79.93,3,3925,702,8
